Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Day Type Index [](Hourly),CORE_ZN:People Occupant Count [](Hourly),PERIMETER_ZN_1:People Occupant Count [](Hourly),PERIMETER_ZN_2:People Occupant Count [](Hourly),PERIMETER_ZN_3:People Occupant Count [](Hourly),PERIMETER_ZN_4:People Occupant Count [](Hourly),Total People,CORE_ZN IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),CORE_ZN IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),CORE_ZN IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),PERIMETER_ZN_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),PERIMETER_ZN_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),PERIMETER_ZN_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),PERIMETER_ZN_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),PERIMETER_ZN_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),PERIMETER_ZN_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),PERIMETER_ZN_3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),PERIMETER_ZN_3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),PERIMETER_ZN_3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),PERIMETER_ZN_4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),PERIMETER_ZN_4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),PERIMETER_ZN_4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly) ,Total Cooling Rate [W],CORE_ZN:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_4:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),Mean air Temperature [°C]
 06/01  12:00:00,24.8916666666666,1001.16666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.1817988558419,27.7868303074807,30.1053222271232,27.9498338483105,28.5636235506652,53.8796552096315,28.6389605311499
 06/01  13:00:00,26.5333333333333,998.333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.2880496979081,28.0125384723516,30.0961156551313,28.1492030467829,28.7731843387027,56.5420002543173,28.7907926019502
 06/01  14:00:00,28.1916666666666,983.333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.3810914150776,28.2158657272633,30.1266029641354,28.3334101129028,28.9442414696022,57.7692246949862,28.930581353677
 06/01  15:00:00,29.25,961.166666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4612339502726,28.380748295511,30.1703765943784,28.4845436732291,29.4143084325776,56.995169576815,29.0918369389731
 06/01  16:00:00,29.7916666666666,918.166666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5329623671418,28.505358218693,30.1943208159951,28.6003758503614,30.3986596940756,54.1793881289344,29.2989552951064
 06/01  17:00:00,30.3499999999999,846.916666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.590367500291,28.6094529932625,30.1884582647335,28.6976733770459,31.2988004393891,49.4954264867182,29.4782015223956
 06/01  18:00:00,29.6083333333333,599.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6347771956088,28.6609428856263,30.1211108818381,28.743501617981,31.7718511487003,43.2346828181029,29.5662183116535
 06/01  19:00:00,27.9666666666666,80.7499999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.651511764732,28.5748801030965,29.9530806187452,28.7134075313919,31.236925938852,34.4028402417476,29.4527864257211
 06/01  20:00:00,26.3083333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5824835587014,28.3633660687943,29.6949592617831,28.5236556586138,30.507887754376,27.478292882535,29.2135470243226
 06/01  21:00:00,24.375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4931051461356,28.1315597948285,29.4012492689196,28.2827193963267,29.9457313205617,23.4462313646013,28.9697713284791
 06/01  22:00:00,22.3333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4034850195396,27.893938576217,29.1115987382164,28.0304797331703,29.4744973885269,20.6254901189191,28.7346307849858
 06/01  23:00:00,20.275,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.3267249088833,27.6902571964454,28.8746149197296,27.8187001516139,29.1459834275234,18.3919919483333,28.545492867469
 06/01  24:00:00,19.1666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.2526266923435,27.5265839831369,28.6878515634716,27.6526622267061,28.8970554854094,16.3772026492102,28.3932565165106
 06/02  01:00:00,18.825,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4566352003342,27.6887156392944,28.8114548635431,27.8144178052443,28.999134872797,15.2193086667391,28.554586591131
 06/02  02:00:00,18.4666666666666,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4734418512261,27.6569006810394,28.7503995944959,27.7808718278766,28.9138805492354,14.380203882477,28.5257376128902
 06/02  03:00:00,17.425,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4516115458543,27.5701731910224,28.6260256039804,27.692859551279,28.7722238747693,13.3924519582858,28.4455375067157
 06/02  04:00:00,15.9833333333333,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4185416264406,27.4523673687839,28.4651157836877,27.5732883595847,28.5938594702445,12.14816615444,28.3385012165061
 06/02  05:00:00,14.525,31.8333333333333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.389462599567,27.3343816188745,28.3255489284676,27.4567319388808,28.4251211138668,10.8680404907041,28.2373399599379
 06/02  06:00:00,15.1833333333333,401.333333333333,2,0.992418503526678,0.752317487976549,0.446284415520685,0.752317487976549,0.446284415520685,3.38962231052115,1453.36488005567,2339.78406629615,3793.14894635182,104.74766758479,1498.77631939511,1603.5239869799,515.962958091811,902.927811620095,1418.8907697119,107.707886762136,1510.27428817246,1617.98217493459,215.245333168268,889.94109026628,1105.18642343454,9538.73230141275,27.9795027865219,27.0912933885817,27.9046708678862,27.4459033061136,27.9888409577458,11.150512597607,27.6553135171861
 06/02  07:00:00,17.4416666666666,699.583333333333,2,1.89461714309638,1.43624247704613,0.85199752053949,1.43624247704613,0.85199752053949,6.47109713826762,3932.1703138935,1447.06442657352,5379.23474046702,609.514405803274,579.859433651328,1189.3738394546,2516.19249814907,613.063138597139,3129.25563674621,1531.9569608157,833.319453876099,2365.2764146918,1495.3795227162,648.817707607788,2144.19723032398,14207.3378616836,25.962784628853,26.0223246290263,25.9092064331148,26.043849300686,26.0081208748412,16.2621261012928,25.9929062988777
 06/02  08:00:00,19.6833333333333,836.416666666666,2,9.02198639569707,6.8392498906959,4.05713105018804,6.8392498906959,4.05713105018804,30.8147482774649,4221.5679803517,539.95220836176,4761.52018871346,1780.10330186064,247.618593275251,2027.72189513589,2941.924332826,229.454902452959,3171.37923527896,2040.05447835289,389.281431941572,2429.33591029447,1651.57716378442,229.455022526779,1881.0321863112,14270.989415734,25.7849491326996,25.8808964518955,25.7452592611154,25.8530397956542,25.821060812491,25.8631631197737,25.8208857870955
 06/02  09:00:00,22,905.333333333333,2,9.02198639569707,6.8392498906959,4.05713105018804,6.8392498906959,4.05713105018804,30.8147482774649,4115.45012964191,539.95221355842,4655.40234320033,1901.87289406089,250.664232524459,2152.53712658535,2977.47065742452,229.232054203971,3206.70271162849,2110.25812268057,388.946608171367,2499.20473085194,1647.54286038925,229.231834218209,1876.77469460746,14390.6216068736,25.7929840609181,25.8681679671248,25.7419910800756,25.85059912757,25.8236393123526,35.7906133318036,25.8197807525899
 06/02  10:00:00,24.4,945.833333333333,2,9.02198639569707,6.8392498906959,0,6.8392498906959,4.05713105018804,26.7576172272769,4075.80998636497,539.952545535076,4615.76253190005,2036.53990953893,243.817635567098,2280.35754510603,2568.94790349535,0,2568.94790349535,2204.3055551467,385.189224133597,2589.49477928029,1686.76562514792,226.726931763586,1913.4925569115,13968.0553166932,25.7872496037056,25.8527232608443,25.7541968820121,25.8388610450966,25.8147323344919,44.372472207981,25.8125029612377
 06/02  11:00:00,26.8,966.166666666666,2,9.02198639569707,6.8392498906959,4.05713105018804,6.8392498906959,4.05713105018804,30.8147482774649,4052.46429486539,539.952053415367,4592.41634828076,2192.7625604476,231.306983571943,2424.06954401955,2466.50057138124,223.632808520449,2690.13337990169,2312.49566856122,380.547810804575,2693.0434793658,1741.03009377644,223.632712634216,1964.66280641066,14364.3255579785,25.7786295688029,25.8394287596956,25.7309631222519,25.8276715301945,25.8043531255984,51.3863222320569,25.8001195034812
 06/02  12:00:00,28.675,976.583333333333,2,5.50697092374926,4.17464055435517,0,4.17464055435517,2.4764505007325,16.3327025331921,3779.71387587977,323.801776125214,4103.51565200498,2336.42760853479,0,2336.42760853479,2129.65929859723,0,2129.65929859723,2231.24219766641,208.892337323733,2440.13453499014,1679.06617767458,121.116314152923,1800.18249182751,12809.9195859547,25.7766307724528,25.8315425737413,25.7380663503812,25.8230697501401,25.7996099242551,56.2238226062258,25.7970733350663
 06/02  13:00:00,30.1166666666666,978.416666666666,2,9.02198639569707,6.8392498906959,4.05713105018804,6.8392498906959,4.05713105018804,30.8147482774649,3990.45115439859,533.755163853821,4524.20631825241,2460.15403160832,174.178504805815,2634.33253641414,2271.26759434204,208.099434197847,2479.36702853989,2500.4296296892,357.153849897275,2857.58347958648,1820.22410776606,208.252908717719,2028.47701648378,14523.9663792767,25.7616548150373,25.8181015967526,25.7247055083257,25.8063239950122,25.7835445602772,59.1174215996506,25.7821144752574
 06/02  14:00:00,31.575,922.5,2,9.02198639569707,6.8392498906959,0,6.8392498906959,4.05713105018804,26.7576172272769,3970.05581045586,532.867515110432,4502.92332556629,2593.17402002613,150.125146926919,2743.29916695305,2036.45154587768,0,2036.45154587768,2591.53484322038,342.861848018541,2934.39669123892,1866.36692307788,198.67518005487,2065.04210313275,14282.1128327687,25.7537669649968,25.8002072470365,25.7262250776885,25.7940573008214,25.7647156587701,60.1259156676739,25.7708319221419
 06/02  15:00:00,31.9666666666666,682.916666666666,2,9.02198639569707,6.8392498906959,4.05713105018804,6.8392498906959,4.05713105018804,30.8147482774649,3933.67011667423,539.578166801559,4473.24828347579,2685.36256007325,142.970360490459,2828.33292056371,2184.64912559261,201.423063339952,2386.07218893256,2654.93176257272,347.206757871286,3002.138520444,2157.57977263555,201.42503848713,2359.00481112268,15048.7967245387,25.745080324636,25.7913776517656,25.7145182114924,25.7844531132187,25.727344469481,57.9655429158472,25.7577356673935
 06/02  16:00:00,31.625,568.416666666666,2,9.02198639569707,6.8392498906959,4.05713105018804,6.8392498906959,4.05713105018804,30.8147482774649,3880.60264063948,534.285481379702,4414.88812201918,2698.10174296569,153.53032934653,2851.63207231222,2132.73032711545,206.813831418944,2339.5441585344,2661.6241250286,355.027023103993,3016.65114813259,2533.40425223536,206.729919426026,2740.13417166138,15362.8496726598,25.7375907054238,25.7820493513335,25.7098999500406,25.7765541751279,25.717614410519,54.0672545275028,25.7498301774656
 06/02  17:00:00,31.2666666666666,451.583333333333,2,2.88703564662306,2.18855996502268,1.29828193606017,2.18855996502268,1.29828193606017,9.86071944878876,2926.53154434436,172.781987187132,3099.3135315315,2338.12592380864,0,2338.12592380864,1652.1949080635,51.9643492801272,1704.15925734363,1951.01158542297,92.3796404641419,2043.39122588711,2299.81083413605,51.9631170923487,2351.7739512284,11536.7638897993,25.753643093245,25.7953908385598,25.7243682090056,25.7919017356717,25.7219604721526,48.378166429592,25.7633746378961
 06/02  18:00:00,30.05,487.25,2,0.992418503526678,0.752317487976549,0.446284415520685,0.752317487976549,0.446284415520685,3.38962231052115,0,1526.09272585156,1526.09272585156,0,960.017978264727,960.017978264727,0,701.959365309487,701.959365309487,0,1015.88022695971,1015.88022695971,0.442714438691238,756.796869328363,757.239583767055,4961.18988015254,27.7842652352243,27.5427672939348,27.94897316667,27.5273284607772,29.2061947823566,42.2223673783731,27.8825351923215
 06/02  19:00:00,28.1916666666666,183.166666666666,2,0.992418503526678,0.752317487976549,0.446284415520685,0.752317487976549,0.446284415520685,3.38962231052115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4669975588286,28.0026688330295,28.5350344218783,28.0690567842947,29.8783692551476,34.6955985248809,28.4703977130221
 06/02  20:00:00,26.3499999999999,10.7777777777777,2,0.992418503526678,0.752317487976549,0.446284415520685,0.752317487976549,0.446284415520685,3.38962231052115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5546867969264,27.9189943341307,28.4885324121105,28.0295659583027,29.4937458205297,28.112613096672,28.4119739308954
 06/02  21:00:00,24.3166666666666,0,2,0.992418503526678,0.752317487976549,0.446284415520685,0.752317487976549,0.446284415520685,3.38962231052115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5474108921545,27.7313929463143,28.3175673771926,27.8344741858727,29.029923662963,23.1792904168212,28.2413301508733
 06/02  22:00:00,22.0583333333333,0,2,0.451099319784853,0.341962494534795,0.202856552509402,0.341962494534795,0.202856552509402,1.54073741387325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4808763275013,27.5019361555955,28.0855757635379,27.5990166918223,28.6343740317989,20.1463670939024,28.0360414925438
 06/02  23:00:00,19.8166666666666,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3654554167599,27.2158090377288,27.7766838377447,27.3078522366354,28.2199164618312,17.487098248404,27.7788836776826
 06/02  24:00:00,18.375,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.556429101991,27.2991588398118,27.8535924158172,27.3920232564994,28.2471449908787,15.0154861978955,27.8856896107547
 06/03  01:00:00,17.4166666666666,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5705533741185,27.2176419064442,27.756010512772,27.3097721331428,28.1105124768038,13.4330328313189,27.8226405741866
 06/03  02:00:00,16.475,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5462302284328,27.1016323668911,27.6192146120472,27.1923700673305,27.946708641098,12.2698595786385,27.7241372011266
 06/03  03:00:00,15.4583333333333,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5160536438722,26.9820977375461,27.4785985186879,27.0720994690015,27.7841815854422,11.2525591284798,27.6221661093926
 06/03  04:00:00,14.3583333333333,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4821211671221,26.8559597294924,27.3290279673421,26.9441748237211,27.6157588543139,10.3040203431904,27.5139757854682
 06/03  05:00:00,13.2583333333333,20.9166666666666,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4565874480969,26.7396452370203,27.2034406851794,26.8290298268366,27.4632827751331,9.21392482819657,27.4185183702697
 06/03  06:00:00,14.2,288.416666666666,3,0.992418503526678,0.752317487976549,0.446284415520685,0.752317487976549,0.446284415520685,3.38962231052115,559.21174460556,686.242866990149,1245.4546115957,108.659082269444,535.895020751972,644.554103021416,77.2462932337473,431.697138703636,508.943431937383,111.41428698713,564.845479793555,676.259766780685,69.0062399674377,319.360193047423,388.36643301486,3463.57834635004,27.9516309254323,26.4814389133516,27.5627683222601,26.8117830562786,27.3427535189226,9.57504207889633,27.2409780062318
 06/03  07:00:00,16.5999999999999,601.75,3,1.89461714309638,1.43624247704613,0.85199752053949,1.43624247704613,0.85199752053949,6.47109713826762,2874.32279333941,1491.17935259414,4365.50214593355,242.730527316505,409.27537919718,652.005906513686,1701.60611432073,628.924798792096,2330.53091311282,987.239648546807,558.602570178136,1545.84221872494,916.744057619243,476.047035355658,1392.7910929749,10286.6722772599,25.9721500002261,25.7653748748065,25.8938857135404,25.9584213074878,25.9587757366198,14.528772076331,25.9111447148597
 06/03  08:00:00,19,763.166666666666,3,9.02198639569707,6.8392498906959,4.05713105018804,6.8392498906959,4.05713105018804,30.8147482774649,3348.74784130597,539.952412675911,3888.70025398188,1394.13403282382,233.691726012874,1627.82575883669,2249.36212257536,231.554288630879,2480.91641120624,1627.76413492044,392.430712593049,2020.19484751349,1207.26146916927,231.554181107102,1438.81565027637,11456.4529218147,25.7355256500017,25.8224218939398,25.7024629474123,25.8060474231801,25.7848709248485,24.3765076982872,25.7726078831124
 06/03  09:00:00,21.6333333333333,844.333333333333,3,9.02198639569707,6.8392498906959,4.05713105018804,6.8392498906959,4.05713105018804,30.8147482774649,3334.40102250473,539.952266203806,3874.35328870854,1567.37939871287,232.239952553432,1799.6193512663,2391.68625291015,230.90885197561,2622.59510488576,1744.29977055825,391.462351672923,2135.76212223118,1255.80692128081,230.909239689935,1486.71616097074,11919.0460280625,25.7405841604103,25.8195850116383,25.6976880898192,25.8005585662635,25.7838824636363,34.8095052609416,25.7714822763587
 06/03  10:00:00,24.375,890.833333333333,3,9.02198639569707,6.8392498906959,0,6.8392498906959,4.05713105018804,26.7576172272769,3362.16365517783,539.951854317471,3902.1155094953,1752.20109827228,236.817013680723,1989.018111953,2080.36617811567,0,2080.36617811567,1880.42869043792,388.88891437165,2269.31760480957,1334.63171606055,229.192951556562,1563.82466761712,11804.6420719907,25.7328445182294,25.8027820915329,25.7069993283179,25.7875410001573,25.7724145954636,44.2306053182205,25.7623137015388
 06/03  11:00:00,27.1333333333333,910.416666666666,3,9.02198639569707,6.8392498906959,4.05713105018804,6.8392498906959,4.05713105018804,30.8147482774649,3398.45835985173,539.951928092573,3938.4102879443,1955.99036172652,237.359184188705,2193.34954591522,2055.01207697814,227.206986245317,2282.21906322345,2029.19678611317,385.909704062575,2415.10649017574,1425.08362601376,227.207065024454,1652.29069103821,12481.3760782969,25.724252304729,25.7898673255718,25.6807591986864,25.7765550323969,25.7621874397124,51.9455829210113,25.7496920490556
 06/03  12:00:00,28.65,898.666666666666,3,5.50697092374926,4.17464055435517,0,4.17464055435517,2.4764505007325,16.3327025331921,3179.7710056074,323.927924494761,3503.69893010216,2124.20029850744,0,2124.20029850744,1762.50600697312,0,1762.50600697312,1977.51709156057,215.545376759283,2193.06246831985,1392.47631910146,125.594177477144,1518.07049657861,11101.5382004812,25.7223247965702,25.7948850500193,25.6856418620918,25.7775128550223,25.7612790237189,57.1778589689239,25.7509772041195
 06/03  13:00:00,29.1916666666666,820.083333333333,3,9.02198639569707,6.8392498906959,4.05713105018804,6.8392498906959,4.05713105018804,30.8147482774649,3430.62853644439,533.338241263419,3963.96677770781,2247.43746460447,186.823826827371,2434.26129143184,1928.96784039124,213.023617601805,2141.99145799304,2251.36745976227,364.562658563944,2615.93011832621,1552.24513068642,213.217407632864,1765.46253831928,12921.6121837782,25.7083610556787,25.7691296290466,25.6751948164837,25.756323370186,25.7418241399156,58.555012462577,25.7325326456749
 06/03  14:00:00,29.75,564.333333333333,3,9.02198639569707,6.8392498906959,0,6.8392498906959,4.05713105018804,26.7576172272769,3435.8539612704,533.736134718735,3969.59009598914,2387.82660277115,193.618327769835,2581.44493054099,1726.74734099021,0,1726.74734099021,2362.32624085299,354.446421562986,2716.77266241598,1634.10494773175,206.474208116519,1840.57915584826,12835.1341857846,25.700904515303,25.7536250727875,25.6771850074265,25.74417076524,25.7228231906685,56.7439314263559,25.7219714138821
 06/03  15:00:00,29.0083333333333,387.666666666666,3,9.02198639569707,6.8392498906959,4.05713105018804,6.8392498906959,4.05713105018804,30.8147482774649,3411.16527450574,539.92971368724,3951.09498819298,2418.5060243181,188.393881731183,2606.89990604929,1870.41773118894,200.672829819498,2071.09056100844,2389.09095176853,346.10957121807,2735.2005229866,1813.76062811228,200.673323818081,2014.43395193036,13378.7199301677,25.6931441945185,25.7502460955123,25.6671824828151,25.7399578963339,25.7145542353505,52.0780880904026,25.7156086920368
 06/03  16:00:00,27.3666666666666,254.583333333333,3,9.02198639569707,6.8392498906959,4.05713105018804,6.8392498906959,4.05713105018804,30.8147482774649,3359.81807156629,545.517354532839,3905.33542609913,2393.18641424896,189.374903862536,2582.5613181115,1820.02188619488,194.879857249251,2014.90174344413,2374.62256342926,337.75521251418,2712.37777594344,1986.42137072045,194.914160671053,2181.3355313915,13396.5117949897,25.68565330516,25.7404593477145,25.6628495973671,25.731023010421,25.7051132475918,46.4451963649161,25.7074467850263
 06/03  17:00:00,25.7083333333333,234.666666666666,3,2.88703564662306,2.18855996502268,1.29828193606017,2.18855996502268,1.29828193606017,9.86071944878876,2424.24371612202,172.801891101841,2597.04560722386,1615.88336029555,0,1615.88336029555,1339.27973927861,18.3015652292666,1357.58130450788,1639.47572356082,41.8823305958287,1681.35805415665,1658.13999298553,18.3029649800402,1676.44295796557,8928.31128414951,25.7090760317438,25.7865227809447,25.6890660014986,25.7563274635647,25.7135033215154,41.5451997252752,25.7347008160875
